video_id,title,channel_title,category_name,country,views,likes,dislikes,comment_count,like_ratio,comment_ratio,title_sentiment,publish_time,publish_day,publish_hour
BhxkNEIj_H0,DHURATA DORA - VONË (Official Video),Dhurata Dora,Music,DE,1725044,25987,0,513,1,0.0003,0,2025-05-08 17:59:07+00:00,Thursday,17
9GnGPT37ncI,साथ SAATH Part -3 | Uttar kumar New movie 2025 | Nimish Singh | Rajeev Sirohi | Rajlaxmi,Rajlaxmi,Film & Animation,IN,1724205,30263,0,4275,1,0.0025,0.136,2025-05-09 03:30:05+00:00,Friday,3
cum1h1qa02o,825 дней в зале,Данкар,Entertainment,RU,1691480,144078,0,33045,1,0.0195,0,2025-05-10 17:36:32+00:00,Saturday,17
9CaQyIxiSZ4,Asli such kya hai? 😡 #shorts #sareaam #iqrarulhassan,Sar e Aam,News & Politics,PK,1689425,70871,0,282,1,0.0002,0,2025-05-06 16:30:04+00:00,Tuesday,16
SDTM9uB26Zk,¡Cómo esconder calcetines para una fiesta! 💃🧦 ¡Truco de maquillaje épico! 💄✨,JOOZY Spanish,Entertainment,RU,1676239,22883,0,16,1,0,0,2025-05-10 16:00:43+00:00,Saturday,16
7ax7rqVLdEA,🔴🔵 PSG - ARSENAL LIVE / 🔥ALLEZ PARIS !! ON REVE DE LA FINALE !!! / LIGUE DES CHAMPIONS / UCL / LDC,L' immigré parisien,Sports,FR,1570949,41559,0,351,1,0.0002,0.416,2025-05-07 21:28:00+00:00,Wednesday,21
SVEyzR-X47U,Главная проблема Кока-Колы,Тимур Сидельников,People & Blogs,RU,1548543,63364,0,1723,1,0.0011,0,2025-05-09 18:31:00+00:00,Friday,18
VAs1L0I7xIc,"Putin, Xi Jinping and Others in Tears at Eternal Flame Ceremony on Victory Day | APT",APT,News & Politics,DE,1475102,33884,0,6448,1,0.0044,0.6,2025-05-09 09:43:39+00:00,Friday,9
XT6We0MnlKY,Watch What Happened When KP CM Ali Amin Gandapur Stopped For Meeting Imran Khan In Adiala Jail,Express News,News & Politics,PK,1462895,43435,0,233,1,0.0002,-0.1,2025-05-08 11:39:48+00:00,Thursday,11
rSKdTSgNitY,رضيت بقلبك وقربِكَ مؤنساً و أنيساً على كتاب الله وسنة رسوله 💍#abirzkitchen,Abirz Kitchen,People & Blogs,RU,1434643,88515,0,3004,1,0.0021,0,2025-05-10 21:54:14+00:00,Saturday,21
MUc5VUtpGl8,AMP MARIO KART IRL,AMP,Entertainment,US,1414694,54695,0,3138,1,0.0022,0,2025-05-10 19:00:48+00:00,Saturday,19
hrmatYnrrRs,I Helped a Streamer Get Fit For His Wedding,Browney,Entertainment,US,1382279,41676,0,1314,1,0.001,0.4,2025-05-09 15:01:14+00:00,Friday,15
Bei6STsAccI,War Alarm Raised - Essential Information for Public Safety - Pakistan And India War - 24 News HD,24 News HD,News & Politics,PK,1278670,18546,0,856,0.9999,0.0007,0,2025-05-08 14:52:11+00:00,Thursday,14
pa3nW0EYYcQ,Godzilla x Kong: Supernova | Now in Production,Warner Bros.,Entertainment,IN,1265897,52952,0,4276,1,0.0034,0,2025-05-09 16:00:12+00:00,Friday,16
lYop364MoXY,$0.01 vs $1000 Sharpest Knife to Cut The Rope,The Richey Family,People & Blogs,IT,1234797,19845,0,17,0.9999,0,0,2025-05-02 15:01:15+00:00,Friday,15
ffcOcghuYFM,Prema Velluva - Video Song | HIT 3 | Nani | Sailesh Kolanu | Srinidhi Shetty | Mickey J Meyer,Saregama Telugu,Music,IN,1210075,19804,0,283,0.9999,0.0002,0,2025-05-10 10:46:07+00:00,Saturday,10
tdLlAszqKtI,Что происходит в берлинском Трептов-парке 9 мая,DW на русском,News & Politics,RU,1180246,25712,0,841,1,0.0007,0,2025-05-09 11:30:44+00:00,Friday,11
YTnAZxqD5w4,McLaren’s GENIUS Tyre Trick Explained,Driver61,Autos & Vehicles,US,1168852,27448,0,1329,1,0.0011,0,2025-05-09 15:48:18+00:00,Friday,15
QYjkbaPsngA,சும்மா இருந்தா காசு வருமா🤨 | Delhi Series | Ep - 09 | Vj Siddhu Vlogs,Vj Siddhu Vlogs,People & Blogs,IN,1164051,84684,0,965,1,0.0008,0,2025-05-11 04:30:32+00:00,Sunday,4
dfEGCKeVako,VTECH : Le PIRE MOTEUR de l'HISTOIRE ? ( Le moteur rotatif ),Sylvain Lyve,Autos & Vehicles,FR,1143179,74481,0,2069,1,0.0018,0,2025-05-08 16:15:09+00:00,Thursday,16
ucvzAdqa0_w,Appa Amma Paavangal | Parithabangal,Parithabangal,Comedy,IN,1132005,55355,0,1800,1,0.0016,0,2025-05-11 05:30:22+00:00,Sunday,5
HeD9wBQViUI,ОТ КОПЕЙКИ ДО АЙФОНА,ANTON RIMSKIY,People & Blogs,RU,1095567,34338,0,240,1,0.0002,0,2025-05-08 15:00:33+00:00,Thursday,15
LyN4si1_0dY,WHO HAD THE BEST SCREAM!? 😱 CAMILLA WIN 🤣 #Shorts @Double_Date,MartaVi,Entertainment,IT,1091779,22945,0,144,1,0.0001,0.9,2025-05-07 13:00:37+00:00,Wednesday,13
Kec0FzdyWaQ,"10 STREAMERS S'AFFRONTENT AUX ECHECS ! (ft. JulienSong, Kameto, Etoile, Gothamchess, Max Biaggi...)",Inoxtag,Gaming,FR,1085790,45690,0,1110,1,0.001,0,2025-05-07 21:01:08+00:00,Wednesday,21
e5NMV4U790o,I Tested TOP YOUTUBER Products,HopeScope,Howto & Style,US,1077651,31905,0,2504,1,0.0023,0.5,2025-05-10 14:30:33+00:00,Saturday,14
EWmenZNScYw,India-Pakistan War Update: Pak Army Befitting Reply to India | 09 AM News Headlines | Pakistan News,Express News,News & Politics,PK,1071146,18048,0,967,0.9999,0.0009,0,2025-05-07 04:27:06+00:00,Wednesday,4
BVbI2fxGA4g,1 KILL = 10000 💎 KOUN JEETA ?,Desi Gamers,Gaming,IN,1036782,85659,0,6789,1,0.0065,0,2025-05-10 03:19:34+00:00,Saturday,3
RGg-Qx1rL9U,"Thudarum - Kanmanipoove Video | Mohanlal | Jakes Bejoy | Shobana | M.G Sreekumar, Tharun Moorthy",Sony Music South,Music,IN,1013731,24054,0,1141,1,0.0011,0,2025-05-09 12:30:02+00:00,Friday,12
vLTc-j6krUo,NRFM School Series | Episode - Duster | 4K | NRFM Brothers,NRFM BROTHERS,Entertainment,IN,1012334,41194,0,2859,1,0.0028,0,2025-05-07 09:30:07+00:00,Wednesday,9
CiDqNRdxTO0,Bowling Ball Vs 700kmh Helicopter Blades! Who Wins,How Ridiculous,Sports,US,1002274,31451,0,1767,1,0.0018,0.3,2025-05-09 21:00:19+00:00,Friday,21
IBjueR8I_gY,Стамбул. Это мир или...,Анатолий Шарий,Comedy,RU,962798,21411,0,0,1,0,0,2025-05-11 13:15:34+00:00,Sunday,13
G1xA0jfiMUE,Касым-Жомарт Токаев и Си Цзиньпин беседуют в Кремле #президентказахстана,President с Адилем Балтабаевым,People & Blogs,RU,953419,13506,0,992,0.9999,0.001,0,2025-05-09 03:06:43+00:00,Friday,3
mIjlmLYWMSM,Pope Leo XIV answers his brother's call during AP interview,Associated Press,News & Politics,US,945801,17565,0,1359,0.9999,0.0014,0,2025-05-09 18:28:50+00:00,Friday,18
-Yjd0-ZeM2w,Indian Origin Scientist finds Biggest ALIEN LIFE Proof on K2-18B Planet,GetsetflySCIENCE by Gaurav Thakur,Science & Technology,IN,944332,28653,0,1490,1,0.0016,-0.25,2025-05-10 06:22:58+00:00,Saturday,6
KaSgcTi5KMY,Mahavatar Narsimha Jayanti Promo - Release Date Announcement | Hombale Films,Hombale Films,Film & Animation,IN,922398,39648,0,944,1,0.001,0,2025-05-11 06:24:00+00:00,Sunday,6
Uf5lttOj8tw,Harry Kane FINALLY has his hands on silverware as Bayern Munich lift the Bundesliga title 🏆,Sky Sports Football,Sports,DE,881164,20448,0,1331,1,0.0015,0,2025-05-10 18:59:03+00:00,Saturday,18
vhmGErevyEk,La prima uscita di Leone XIV: il papa in visita a Genazzano incontra i fedeli entusiasti,Local Team,News & Politics,IT,872039,17978,0,1806,0.9999,0.0021,0,2025-05-10 18:00:32+00:00,Saturday,18
4ZVHTWiiuk8,"IPL MATCH dekha first time, maja aagya 😍",Sahil joshi Vlogs,People & Blogs,IN,855826,37019,0,1099,1,0.0013,0.25,2025-05-11 02:45:01+00:00,Sunday,2
9N9flSEcdic,"JP Performance - Zoki, Julia und Monte erleben ihr blaues Wunder im R8 V10 Turbo!",JP Performance GmbH,Autos & Vehicles,DE,855492,52271,0,3091,1,0.0036,0,2025-05-08 09:30:11+00:00,Thursday,9
